Анализ за период с: 01.10.20 по 17.10.20;
Палочка для шарика;40
%Укомплектованный заказ Комус для ФС;1
Isuzu 409;
А21_ТЦ Грант (г.Люберцы);
Рекламация Р-00372 (08.10.2020);
213 Собран;
Рекламация Р-00466 (08.10.2020);
"213 Собран
1=0. Заполнина Евстюнина МВ";
Рекламация Р-00497 (09.10.2020);
1=0 Заполнила Евстюнина МВ;
Плакат А3 акция (48 часов);2
Чай в упаковке;4
Пакет фирменный (картонный);4
Кружка белая с логотипом;10
Упаковка для кружки (мал.);10
Шампанское;12
Шоколадный набор;17
Развертка фирменная;20
Шоколад с логотипом 5 гр.;250
Шарик зелёный;10
Шарик серый;10
Зажим для шарика;10
Палочка для шарика;10
Чековая лента из термобумаги ProMega 57 мм;4
Папка картонная А4 для клиентов;200
Ценник круглый СКИДКА;20
Пакет ПВД А4 (30*40) универсальный;50
Образец ДСП американский орех 50х50мм;60
А21_ТЦ Светофор (Люберцы);
Рекламация Р-00412 (08.10.2020);
Б/Лед  213 Собран;
Плакат А3 акция (48 часов);3
Чай в упаковке;4
Пакет фирменный (картонный);4
Кружка белая с логотипом;10
Упаковка для кружки (мал.);10
Шампанское;6
Шоколадный набор;9
Развертка фирменная;30
Шоколад с логотипом 5 гр.;250
Шарик зелёный;15
Шарик серый;15
Зажим для шарика;30
Палочка для шарика;40
Isuzu 247;
А21_ТЦ Империя;
Рекламация Р-00376 (08.10.2020);
213 Собран;
Плакат А3 акция (48 часов);4
Чай в упаковке;16
Пакет фирменный (картонный);16
Кружка белая с логотипом;40
Упаковка для кружки (мал.);40
Шампанское;6
Шоколадный набор;40
Шоколад с логотипом 5 гр.;1000
Леденец;2
Шарик зелёный;18
Шарик серый;18
Зажим для шарика;36
Палочка для шарика;36
%Укомплектованный заказ Комус для ФС;3
Набор декора для ФС;1
А21_ТЦ Мебель Сити (Дмитровка);
Рекламация Р-00394 (08.10.2020);
213 Собран;
Плакат А3 акция (48 часов);2
Чай в упаковке;5
Кружка белая с логотипом;12
Упаковка для кружки (мал.);12
Шампанское;6
Шоколадный набор;9
Развертка фирменная;10
Шоколад с логотипом 5 гр.;250
Леденец;1
Шарик зелёный;10
Шарик серый;10
Зажим для шарика;20
Палочка для шарика;20
%Укомплектованный заказ Комус для ФС;1
Наемная машина 9;
А21_ТЦ Ленинская Слобода 3 (Roomer);
Рекламация Р-00384 (08.10.2020);
213 Собран;
Рекламация Р-00468 (08.10.2020);
"213 Собран
Заявку составила Кульмяева Н.А. Образцы Тауп МДФ 18 мм - для кухни";
Плакат А3 акция (48 часов);1
Чай в упаковке;12
Пакет фирменный (картонный);12
Кружка белая с логотипом;30
Упаковка для кружки (мал.);30
Шампанское;18
Шоколадный набор;30
Шоколад с логотипом 5 гр.;500
Каталог АРТИС 80 полос (48 часов);70
Образец фасада ТОЛЕДО ЧЕРНЫЙ МРАМОР 290х290;1
Образец фасада ТАУП 150х150;10
Образец фасада СОНОМА 150х150;10
Образец фасада СЕРЫЙ КАМЕНЬ 150х150;10
Isuzu 874;
А21_ТЦ Мебель ХОЛ  (Раменское);
Рекламация Р-00395 (08.10.2020);
213 Собран;
Рекламация Р-00500 (09.10.2020);
"213 Собран
Леденец- нет в наличии";
Плакат А3 акция (48 часов);2
Кружка белая с логотипом;10
Упаковка для кружки (мал.);10
Шоколад с логотипом 5 гр.;500
Леденец;2
Шарик зелёный;16
Шарик серый;15
Зажим для шарика;25
Палочка для шарика;5
%Укомплектованный заказ Комус для ФС;1
Шампанское;6
Ежедневник в мягком переплёте;1
А21_ТЦ МЕБЕЛЬГУД (г. Раменское);
Рекламация Р-00396 (08.10.2020);
213 Собран;
Плакат А3 акция (48 часов);2
Кружка белая с логотипом;4
Упаковка для кружки (мал.);4
Развертка фирменная;10
Шоколад с логотипом 5 гр.;250
Леденец;2
Шарик зелёный;6
Шарик серый;6
Зажим для шарика;6
Палочка для шарика;6
Наемная машина 4;
А21_ТЦ Парк 11 (Дмитровская);
Рекламация Р-00403 (08.10.2020);
213 Собран;
Плакат А3 акция (48 часов);1
Чай в упаковке;2
Пакет фирменный (картонный);2
Кружка белая с логотипом;10
Упаковка для кружки (мал.);10
Шампанское;12
Шоколадный набор;2
Развертка фирменная;20
Шоколад с логотипом 5 гр.;500
Леденец;1.5
Шарик зелёный;10
Шарик серый;10
Зажим для шарика;20
Палочка для шарика;20
%Укомплектованный заказ Комус для ФС;1
Isuzu 901;
А21_ТЦ Поворот (Лобня);
Рекламация Р-00407 (08.10.2020);
213 Собран;
Плакат А3 акция (48 часов);1
Кружка белая с логотипом;10
Упаковка для кружки (мал.);10
Шампанское;6
Шоколадный набор;4
Развертка фирменная;10
Шоколад с логотипом 5 гр.;250
Леденец;1.5
Isuzu 778;
А21_ТЦ Пулмарт (г. Пушкино);
Рекламация Р-00408 (08.10.2020);
213 Собран;
Плакат А3 акция (48 часов);3
Кружка белая с логотипом;10
Упаковка для кружки (мал.);10
Шампанское;6
Шоколад с логотипом 5 гр.;250
Леденец;1.5
А21_ТЦ Сергиев Град (г.Сергиев Посад);
Рекламация Р-00413 (08.10.2020);
Б/Лед  213 Собран;
Плакат А3 акция (48 часов);1
Чай в упаковке;1
Кружка белая с логотипом;6
Упаковка для кружки (мал.);6
Шампанское;6
Шоколадный набор;3
Развертка фирменная;10
Шоколад с логотипом 5 гр.;500
А21_Формат №2 (г. Мытищи);
Рекламация Р-00428 (08.10.2020);
Б/Лед  213 Собран;
Плакат А3 акция (48 часов);1
Чай в упаковке;2
Пакет фирменный (картонный);2
Шоколадный набор;3
Развертка фирменная;10
Шоколад с логотипом 5 гр.;250
Isuzu 195;
А21_ТЦ Эльград (г. Электросталь);
Рекламация Р-00426 (08.10.2020);
Б/Лед  213 Собран;
Рекламация Р-00499 (09.10.2020);
"213 Собран
Образец цвета ДСП и МДФ ""Веер""- нет в наличии
Отгрузить. Афонин
позиция дорожный несессер- не для Вип подарка, а для выездов на ВД сотрудникам";
Плакат А3 акция (48 часов);2
Чай в упаковке;4
Пакет фирменный (картонный);3
Кружка белая с логотипом;15
Упаковка для кружки (мал.);15
Шампанское;12
Шоколадный набор;13
Развертка фирменная;35
Шоколад с логотипом 5 гр.;500
Шарик зелёный;8
Шарик серый;8
Зажим для шарика;16
%Укомплектованный заказ Комус для ФС;1
Дорожный несессер;4
Опоясок ДР клиента;10
Упаковка бумаги А4 для принтера (1 упак = 500 листов);5
Каталог АРТИС 80 полос (48 часов);70
Образец ДСП американский орех 50х50мм;30
СПБ Газель 982 (СмирновИП);
А21_ТЦ Аквилон 2 (г. Санкт-Петербург);
Рекламация Р-00436 (08.10.2020);
213 Собран;
Кружка белая с логотипом;5
Упаковка для кружки (мал.);5
Шампанское;6
Шоколадный набор;1
Развертка фирменная;20
Шоколад с логотипом 5 гр.;250
Шарик зелёный;60
Зажим для шарика;60
Палочка для шарика;60
А21_ТЦ Аквилон 3 (г. Санкт-Петербург);
Рекламация Р-00437 (08.10.2020);
213 Собран;
Кружка белая с логотипом;10
